1,1,-18.539
1,2,-17.705
1,3,-17.125
1,4,-16.575
1,5,-15.241
1,6,-14.442
1,7,-13.455
1,8,-12.317
1,9,-10.972
1,10,-9.9648
1,11,-7.7728
1,12,-6.1478
1,13,-4.6238
2,1,-17.006
2,2,-15.941
2,3,-15.202
2,4,-13.753
2,5,-12.631
2,6,-11.328
2,7,-10.517
2,8,-8.7158
2,9,-7.0538
2,10,-5.5228
2,11,-3.1608
2,12,-0.62178
2,13,1.0302
3,1,-14.74
3,2,-13.581
3,3,-12.712
3,4,-11.007
3,5,-9.5168
3,6,-7.9088
3,7,-6.6068
3,8,-4.5908
3,9,-2.6238
3,10,-0.72178
3,11,2.4852
3,12,5.3872
3,13,7.5532
4,1,-12.702
4,2,-11.344
4,3,-10.267
4,4,-8.2388
4,5,-6.3368
4,6,-4.5368
4,7,-2.9398
4,8,-0.54678
4,9,2.1392
4,10,4.3712
4,11,7.8772
4,12,10.798
4,13,13.258
5,1,-10.494
5,2,-8.9348
5,3,-7.4658
5,4,-5.2368
5,5,-2.9998
5,6,-0.77178
5,7,1.1662
5,8,4.1042
5,9,6.8392
5,10,9.1992
5,11,12.926
5,12,15.787
5,13,17.844
6,1,-8.2328
6,2,-6.5588
6,3,-4.7008
6,4,-2.2568
6,5,0.28222
6,6,2.8882
6,7,5.1432
6,8,8.0702
6,9,10.949
6,10,13.396
6,11,16.806
6,12,18.641
6,13,19.467
7,1,-5.7218
7,2,-3.5958
7,3,-1.6708
7,4,1.2992
7,5,4.1222
7,6,6.6232
7,7,9.0772
7,8,12.208
7,9,14.792
7,10,17.239
7,11,18.695
7,12,19.474
7,13,21.04
8,1,-3.4268
8,2,-1.1378
8,3,0.97722
8,4,4.0732
8,5,6.9092
8,6,9.5942
8,7,11.998
8,8,14.739
8,9,17.168
8,10,18.311
8,11,19.358
8,12,21.764
8,13,23.466
9,1,-1.5378
9,2,0.94422
9,3,3.3452
9,4,6.3112
9,5,9.4352
9,6,12.274
9,7,14.42
9,8,17.183
9,9,18.499
9,10,19.598
9,11,21.266
9,12,23.577
9,13,19.698
10,1,0.070215
10,2,2.7392
10,3,5.1552
10,4,8.3852
10,5,11.494
10,6,14.209
10,7,16.401
10,8,18.433
10,9,19.573
10,10,20.28
10,11,23.121
10,12,19.963
10,13,19.522
11,1,2.7272
11,2,5.5502
11,3,7.8322
11,4,11.536
11,5,14.462
11,6,17.192
11,7,18.257
11,8,19.162
11,9,20.446
11,10,22.35
11,11,19.535
11,12,19.569
11,13,14.632
12,1,4.7632
12,2,7.5772
12,3,10.128
12,4,13.466
12,5,16.566
12,6,18.022
12,7,19.062
12,8,19.946
12,9,22.193
12,10,24.38
12,11,20.044
12,12,17.741
12,13,2.1752
13,1,6.5312
13,2,9.4982
13,3,12.025
13,4,15.39
13,5,17.843
13,6,18.963
13,7,19.134
13,8,21.336
13,9,23.971
13,10,19.913
13,11,18.229
13,12,9.4252
13,13,-3.1908
14,1,8.4392
14,2,11.404
14,3,13.843
14,4,17.203
14,5,18.736
14,6,19.184
14,7,20.448
14,8,22.989
14,9,19.567
14,10,19.828
14,11,15.119
14,12,-1.1728
14,13,-5.1198
15,1,10.161
15,2,13.026
15,3,15.606
