10.362,14.037,17.449,20.738,23.006,24.452,25.36,25.978,27.063,27.952,28.817,29.61,30.636,31.173,31.721,32.049,32.658,33.422,33.79,34.064,34.299,34.874,35.26,35.549,34.945,34.156,33.236,33.254,33.083,33.254,33.309,33.457,33.305,33.342,33.424,33.575,33.625,33.855,34.023
11.231,15.309,18.986,22.111,23.991,25.124,26.09,27.083,27.946,28.92,29.852,30.823,31.51,31.869,32.448,33.157,33.633,33.994,34.629,34.921,35.23,35.493,34.119,33.176,33.184,33.07,33.009,33.191,33.152,33.274,33.265,33.366,33.455,33.692,34,34.114,33.94,34.041,34.228
12.228,16.45,20.314,23.209,24.934,25.687,26.862,27.892,28.848,30.007,30.755,31.555,32.079,32.795,33.33,33.638,34.256,34.705,35.139,34.717,33.922,33.196,32.901,32.829,32.937,32.953,33.034,33.383,33.337,33.52,33.679,33.92,33.918,33.945,34.097,34.349,34.453,34.617,34.922
13.61,17.931,21.866,24.381,25.558,26.758,27.96,29.021,30.329,31.094,31.636,32.503,33.472,33.646,34.203,34.654,35.03,34.096,32.842,32.908,32.675,32.854,32.841,32.933,33.198,33.377,33.742,33.884,33.798,33.916,34.043,34.194,34.389,34.802,35.195,35.521,35.392,35.846,35.895
14.709,19.633,23.333,24.984,26.343,27.762,29.026,30.279,31.123,31.686,32.686,33.407,34.125,34.372,34.841,33.664,32.631,32.571,32.634,32.902,32.858,32.922,33.122,33.493,33.827,33.767,33.812,34.106,34.452,34.7,34.971,35.251,35.383,35.622,35.613,35.109,35.001,34.199,34.309
15.965,20.798,24.052,25.656,27.323,28.728,30.223,31.118,31.586,32.816,33.087,34.127,34.786,34.238,33.1,32.501,32.469,32.684,32.813,32.974,33.175,33.351,33.769,33.639,33.96,34.165,34.582,35.118,35.557,35.557,35.493,35.64,35.238,34.181,34.4,34.001,33.772,33.693,33.226
17,21.944,24.861,26.137,27.872,29.667,31.011,31.425,32.636,33.203,33.802,34.583,33.305,32.413,32.097,32.511,32.465,32.739,33.004,33.469,33.476,33.45,33.82,34.086,34.542,34.953,35.145,35.628,35.476,35.114,34.149,34.07,33.692,33.569,33.345,32.428,31.642,29.626,27.483
18.571,23.342,25.203,27.228,29.014,30.638,31.426,32.484,32.974,33.818,34.526,32.734,32.194,32.297,32.538,32.665,33.052,33.528,33.579,33.864,33.851,34.209,34.879,34.966,35.287,35.179,34.565,34.232,34.061,33.549,33.363,32.947,31.392,29.218,27.027,23.642,21.357,20.109,18.912
20.194,24.165,25.867,28.269,30.064,31.219,32.597,32.826,33.588,34.223,32.496,32.016,32.411,32.564,32.742,33.528,33.553,33.762,34.24,34.693,35.144,35.216,35.284,34.972,33.973,34.038,33.761,33.548,32.093,30.475,28.552,25.316,22.801,20.42,18.665,17.241,13.233,11.661,10.296
21.343,24.799,26.836,29.138,30.958,31.875,32.873,33.582,34.172,32.363,31.883,32.349,32.77,33.153,33.496,33.64,34.044,34.731,35.203,35.362,35.265,35.104,34.031,34.094,33.474,33.419,31.913,29.502,25.425,22.198,20.669,18.821,15.852,13.318,11.166,9.6169,7.9961,6.3539,4.5741
23.182,25.219,27.665,30.125,31.595,32.638,33.539,33.888,32.091,32.245,32.203,33.11,33.874,33.696,34.204,34.82,35.496,35.611,35.261,34.191,34.302,33.749,32.67,31.846,28.749,24.767,21.071,19.005,15.316,12.297,11.024,9.5728,7.5934,5.4234,3.8334,2.753,1.4735,-0.016786,-1.0067
24.309,26.166,29.059,30.987,32.515,33.187,33.741,31.713,32.265,32.333,33.099,33.818,34.147,34.74,35.571,35.575,35.119,34.505,33.977,33.597,32.594,30.732,26.06,23.234,19.86,17.266,12.142,10.291,8.4867,6.3654,4.8259,3.5822,1.8521,0.28365,-0.57103,-1.2863,-1.7675,-2.1454,-2.3991
24.955,26.644,29.549,31.502,32.431,33.622,31.729,31.742,32.29,32.925,33.367,34.195,35.09,35.318,35.647,34.894,34.205,33.519,32.477,29.974,26.056,21.916,19.522,14.071,11.55,9.4799,7.1979,4.2384,3.0783,1.8773,0.054822,-0.81592,-1.4858,-1.9294,-2.1074,-2.8405,-3.3141,-3.6161,-2.3991
