2.7413,2.7746,2.7753,2.7947,2.7689,2.7977,2.8227,2.8798,2.9074,2.9438,2.9495,2.9142,2.9429,2.9651,2.966,2.9936,3.0174,3.0229,3.0307,3.0447,3.0522,3.0591,3.086,3.0699,3.0617,3.1305,3.1493,3.1532,3.1853,3.1721,3.2083,3.2159,3.2307,3.2797,3.2677,3.2852,3.33,3.3355,3.3203
2.7475,3.0856,3.1032,3.1241,3.1169,3.1609,3.1504,3.1965,3.2124,3.2714,3.2439,3.2641,3.3008,3.2991,3.3066,3.319,3.335,3.3374,3.3708,3.3833,3.4057,3.387,3.4191,3.4577,3.443,2.9877,3.0028,3.0434,3.0522,3.0488,3.0845,3.1419,3.142,3.177,3.1917,3.1843,3.2025,3.2544,3.2233
3.2556,3.2626,3.2857,3.297,3.3064,3.2837,3.3415,3.3666,3.4195,3.4149,3.4023,3.4738,3.4549,3.5335,3.4941,3.5392,3.1059,3.1283,3.1507,3.1626,3.2061,3.2168,3.2374,3.2378,3.2856,3.2822,3.3294,3.3604,3.3595,3.394,3.42,3.4595,3.4426,3.4752,3.477,3.562,3.5188,3.5863,3.5907
3.4553,3.4989,3.4916,3.5195,3.5657,3.5823,3.6028,3.6202,3.2008,3.28,3.2723,3.2627,3.3174,3.3424,3.3551,3.4153,3.426,3.4704,3.4951,3.5296,3.5286,3.5693,3.5879,3.6442,3.6139,3.7045,3.6868,3.7248,3.7777,3.8109,3.8282,3.8591,3.8792,3.9004,3.9662,3.9434,4.0343,3.994,4.0478
3.3677,3.3991,3.4147,3.4701,3.4529,3.4981,3.5185,3.5633,3.5899,3.5775,3.6441,3.6695,3.6887,3.728,3.7329,3.7786,3.8469,3.8392,3.8508,3.8845,3.9692,3.9495,3.9819,4.0091,4.0418,4.089,4.0987,4.1573,4.1664,4.1882,4.2611,4.2839,4.2614,4.3259,4.3629,4.4228,4.3841,4.4355,4.4683
3.7781,3.778,3.8036,3.8301,3.8571,3.9076,3.9146,3.9252,4.008,3.9832,4.0665,4.0849,4.0841,4.1477,4.1767,4.1942,4.2329,4.267,4.3008,4.3241,4.3214,4.3727,4.4039,4.4554,4.4992,4.4892,4.5465,4.5404,4.2369,4.2711,4.2772,4.3361,4.3566,4.3645,4.4196,4.5048,4.466,4.5176,4.5432
4.1489,4.1502,4.1889,4.2163,4.224,4.2502,4.2856,4.3477,4.3421,4.3692,4.4106,4.4366,4.458,4.495,4.5786,4.568,4.5678,4.6363,4.3065,4.3271,4.3856,4.3986,4.4289,4.4692,4.528,4.6233,4.5682,4.65,4.6908,4.7158,4.7027,4.7813,4.8349,4.8573,4.874,4.9602,4.9783,4.9956,5.0184
4.639,4.6648,4.6724,4.7201,4.7191,4.762,4.8368,4.8677,4.5757,4.5731,4.581,4.6553,4.6945,4.7222,4.7754,4.8347,4.8403,4.8546,4.8738,4.9578,5.0079,5.0163,5.0854,5.1262,5.1403,5.1804,5.2245,5.2666,5.3076,5.3926,5.3602,5.3968,5.4445,5.4805,5.5606,5.5477,5.6423,5.6763,5.6643
4.8704,4.9093,4.9544,4.9299,4.975,5.0006,5.0201,5.0874,5.1337,5.1402,5.1939,5.2272,5.2549,5.2844,5.3784,5.4093,5.394,5.4609,5.5376,5.5635,5.5895,5.6227,5.6844,5.7519,5.7526,5.814,5.8406,5.91,5.9818,6.0536,6.0466,6.0747,6.114,6.1069,6.2313,6.2642,6.2442,6.2923,6.3672
5.4192,5.4557,5.4749,5.4847,5.5294,5.5631,5.5888,5.648,5.6943,5.7472,5.7563,5.7798,5.8699,5.8159,5.9404,6.0163,5.9982,6.0028,6.0705,6.1301,6.1474,6.2121,6.2936,6.3333,6.4308,6.3523,6.4788,6.5146,6.5569,6.5908,6.7082,6.4141,6.446,6.4775,6.5615,6.627,6.6235,6.7283,6.7557
6.3705,6.3562,6.3515,6.4021,6.4554,6.4485,6.4492,6.5539,6.5711,6.6322,6.6166,6.7175,6.7601,6.56,6.5912,6.6732,6.7615,6.7241,6.8041,6.8853,6.9012,6.9326,7.0439,7.0343,7.0915,7.171,7.226,7.2944,7.2949,7.3039,7.4167,6.9983,7.0674,7.0238,7.1255,7.2355,7.266,7.3141,7.2991
6.4809,6.4624,6.6377,6.6927,6.7223,6.888,6.8777,6.7575,6.9011,6.9182,6.9259,7.0661,7.0701,7.123,7.1936,7.2678,7.2605,7.4101,7.4719,7.0785,7.1539,7.1719,7.3212,7.3335,7.3987,7.5183,7.5236,7.5793,7.6452,7.7095,7.7743,7.8662,7.9181,7.9486,8.0069,8.0566,8.1944,8.2107,8.2661
7.3901,7.4156,7.5006,7.4897,7.541,7.6234,7.6723,7.3162,7.3267,7.3575,7.4407,7.5052,7.6046,7.6081,7.6923,7.761,7.7926,7.8705,7.9162,7.9846,8.0491,8.0801,8.0975,8.1743,8.2706,8.306,8.3973,8.479,8.5483,8.6136,8.6582,8.6551,8.7317,8.8045,8.9141,8.9246,9.0014,9.1363,8.2661
